,ID,Transportation,Speed,rating,rating_bus,rating_weather,linha,Displacements
0,3,bus_1,13.56,3,0,0,,0.032833179007419215
1,4,bus_2,19.767,3,0,0,,0.0545100498200531
2,12,bus_3,17.405,3,0,0,,0.004564968039868758
3,13,bus_4,15.395,3,0,0,,0.05488784962131468
4,14,bus_5,8.903,2,0,0,,0.0
5,18,bus_6,16.357,2,0,0,,0.00974997496305437
6,19,bus_7,17.543,2,0,0,,0.04849540213606902
7,24,bus_8,19.424,2,0,0,,0.023786273469220208
8,25,bus_9,20.8,3,0,0,,0.07885953604352493
9,26,bus_10,8.724,1,0,0,,0.0801709131411998
10,27,bus_11,8.724,1,0,0,,0.0801709131411998
11,33,bus_12,12.611,2,0,0,,0.04737785190890813
12,49,bus_13,37.141,3,0,0,,0.030950494377961338
13,50,bus_14,37.141,3,0,0,,0.030950494377961338
14,51,bus_15,72.927,1,0,0,,0.004345200409026412
15,58,bus_16,96.206,2,0,0,,0.033274086304208174
16,61,bus_17,3.238,2,0,0,,3.253195659414481e-05
17,63,bus_18,0.582,2,0,0,,7.21634949263378e-05
18,65,bus_19,1.387,2,0,0,,5.650118671318788e-05
19,67,bus_20,0.181,2,0,0,,7.910779039201975e-05
20,70,bus_21,0.187,2,0,0,,6.452436516563817e-05
21,71,bus_22,2.74,2,0,0,,0.0
22,78,bus_23,1.552,2,0,0,,2.3596315388687164e-05
23,99,bus_24,0.892,2,0,0,,0.00010537164134463223
24,128,bus_25,1.262,2,0,0,,4.2455040927755325e-05
25,155,bus_26,0.637,2,0,0,,1.8964875433574797e-05
26,157,bus_27,0.196,1,0,0,,6.0153403896515095e-05
27,158,bus_28,0.036,1,0,0,,2.3653280953932457e-05
28,159,bus_29,1.034,3,0,0,,0.0
29,171,bus_30,8.986,1,3,1,008 - SANTA TEREZA B INDUSTRIA,0.0
30,177,bus_31,3.456,3,1,1,040 - MARCOS FREIRE II DIA,0.00013897375651588948
31,179,bus_32,1.581,3,1,2,008 - SANTA TEREZA B INDUSTRIA,2.8935272606458056e-06
32,205,bus_33,1.023,3,2,1,409 - RIOMAR DIA,7.259530149970123e-05
33,210,bus_34,23.785,1,2,2,051 - ATALAIA CENTRO,0.047201202369245215
34,248,bus_35,24.003,3,1,2,051 - ATALAIA CENTRO,0.05555673039471773
35,32446,bus_36,21.195,3,2,2,051 - ATALAIA CENTRO,0.048388621393185706
36,32447,bus_37,21.195,3,2,2,051 - ATALAIA CENTRO,0.048388621393185706
37,37945,bus_38,20.37,3,1,2,051 - ATALAIA CENTRO,0.052650680850623535
38,37949,bus_39,2.878,1,2,2,007 - FERNANDO COLLOR ATALAIA,6.567634124915582e-05
39,37950,bus_40,18.794,3,1,2,100 1 - CIRCULAR SHOPPINGS,0.017145429341899037
40,37951,bus_41,18.794,3,1,2,100 1 - CIRCULAR SHOPPINGS,0.017145429341899037
41,37953,bus_42,14.9,3,1,2,715 - TIJUQUINHA DES MAYNARD,0.05064498933518001
42,37954,bus_43,14.9,3,1,2,715 - TIJUQUINHA DES MAYNARD,0.05064498933518001
43,37955,bus_44,25.555,3,1,2,080 - BUGIO ATALAIA,0.07128839711698777
44,37960,bus_45,13.532,1,1,1,031 - EDUARDO GOMES DES. MAYNA,0.05032021543992717
45,37961,bus_46,17.972,3,1,2,080 - BUGIO ATALAIA,0.07128404822286608
46,37964,bus_47,29.541,3,1,2,051 - ATALAIA CENTRO,0.049299828843460076
47,37965,bus_48,15.62,3,1,2,715 - TIJUQUINHA DES MAYNARD,0.0455979313041336
48,37967,bus_49,0.01,1,1,1,040 - MARCOS FREIRE II DIA,1.574273483223536e-05
49,37969,bus_50,16.779,1,1,1,031 - EDUARDO GOMES DES. MAYNA,0.02336232483816795
50,37971,bus_51,4.871,3,1,1,031 - EDUARDO GOMES DES. MAYNA,0.00018416898381733233
51,37972,bus_52,4.871,3,1,1,031 - EDUARDO GOMES DES. MAYNA,0.00018416898381733233
52,37979,bus_53,0.559,3,1,2,034 - TERM ROD L BATISTA,7.117283329950948e-05
53,37982,bus_54,4.68,3,1,2,034 - TERM ROD L BATISTA,0.0
54,37983,bus_55,1.601,3,1,2,034 - TERM ROD L BATISTA,5.5281389273519325e-05
55,37989,bus_56,18.705,1,1,1,702 - AUGUSTO FRANCO BEIRA MAR,0.043262333058547105
56,37990,bus_57,1.834,3,1,2,020 - PIABETA DIA,0.0
57,37993,bus_58,0.102,3,1,2,031 - EDUARDO GOMES DES. MAYNA,0.0
58,37995,bus_59,0.177,3,1,2,001 - A FRANCO BUGIO,0.00012351796832860327
59,38000,bus_60,16.685,3,2,2,715 - TIJUQUINHA DES MAYNARD,0.049546594010136114
60,38001,bus_61,10.941,3,1,2,007 - FERNANDO COLLOR ATALAIA,0.06468491784187963
61,38015,bus_62,24.505,1,2,2,051 - ATALAIA CENTRO,0.03386583661874594
62,38016,bus_63,11.567,1,3,1,031 - EDUARDO GOMES DES. MAYNA,0.04645570797055576
63,38018,bus_64,0.398,3,1,2,061 - M. FREIRE CENTRO,2.2070890330699266e-05
64,38022,bus_65,19.377,1,2,2,031 - EDUARDO GOMES DES. MAYNA,0.055519353516968656
65,38024,bus_66,7.138,3,1,2,051 - ATALAIA CENTRO,0.023401374022464456
66,38030,bus_67,1.783,3,1,2,031 - EDUARDO GOMES DES. MAYNA,0.0
67,38031,bus_68,0.172,3,1,2,020 - PIABETA DIA,5.7531989364027426e-05
68,38039,bus_69,1.312,3,1,2,002 - FERNANDO COLLOR DIA,6.165008110703994e-05
69,38044,bus_70,23.199,3,2,2,001 - A FRANCO BUGIO,0.04689479969949723
70,38045,bus_71,23.503,3,1,2,001 - A FRANCO BUGIO,0.030672441554106006
71,38064,bus_72,1.445,3,2,2,707 - CASTELO BRANCO CENTRO,0.001142292235146054
72,38069,bus_73,0.536,3,1,2,001 - A FRANCO BUGIO,7.563173473934319e-05
73,38084,bus_74,1.154,1,3,2,721 - CASTELO BRANCO SUISSA,0.000134176053811322
74,38090,bus_75,0.843,3,1,2,002 - FERNANDO COLLOR DIA,0.0
75,38092,bus_76,1.373,3,1,2,060 - PADRE PEDRO CAMPUS,0.00010870477910613086
