ID,Transportation,Speed,rating,rating_bus,rating_weather,linha
3,bus_1,13.56,3,0,0,
4,bus_2,19.767,3,0,0,
12,bus_3,17.405,3,0,0,
13,bus_4,15.395,3,0,0,
14,bus_5,8.903,2,0,0,
18,bus_6,16.357,2,0,0,
19,bus_7,17.543,2,0,0,
24,bus_8,19.424,2,0,0,
25,bus_9,20.8,3,0,0,
26,bus_10,8.724,1,0,0,
27,bus_11,8.724,1,0,0,
33,bus_12,12.611,2,0,0,
49,bus_13,37.141,3,0,0,
50,bus_14,37.141,3,0,0,
51,bus_15,72.927,1,0,0,
58,bus_16,96.206,2,0,0,
61,bus_17,3.238,2,0,0,
63,bus_18,0.582,2,0,0,
65,bus_19,1.387,2,0,0,
67,bus_20,0.181,2,0,0,
70,bus_21,0.187,2,0,0,
71,bus_22,2.74,2,0,0,
78,bus_23,1.552,2,0,0,
99,bus_24,0.892,2,0,0,
128,bus_25,1.262,2,0,0,
155,bus_26,0.637,2,0,0,
157,bus_27,0.196,1,0,0,
158,bus_28,0.036,1,0,0,
159,bus_29,1.034,3,0,0,
171,bus_30,8.986,1,3,1,008 - SANTA TEREZA B INDUSTRIA
177,bus_31,3.456,3,1,1,040 - MARCOS FREIRE II DIA
179,bus_32,1.581,3,1,2,008 - SANTA TEREZA B INDUSTRIA
205,bus_33,1.023,3,2,1,409 - RIOMAR DIA
210,bus_34,23.785,1,2,2,051 - ATALAIA CENTRO
248,bus_35,24.003,3,1,2,051 - ATALAIA CENTRO
32446,bus_36,21.195,3,2,2,051 - ATALAIA CENTRO
32447,bus_37,21.195,3,2,2,051 - ATALAIA CENTRO
37945,bus_38,20.37,3,1,2,051 - ATALAIA CENTRO
37949,bus_39,2.878,1,2,2,007 - FERNANDO COLLOR ATALAIA
37950,bus_40,18.794,3,1,2,100 1 - CIRCULAR SHOPPINGS
37951,bus_41,18.794,3,1,2,100 1 - CIRCULAR SHOPPINGS
37953,bus_42,14.9,3,1,2,715 - TIJUQUINHA DES MAYNARD
37954,bus_43,14.9,3,1,2,715 - TIJUQUINHA DES MAYNARD
37955,bus_44,25.555,3,1,2,080 - BUGIO ATALAIA
37960,bus_45,13.532,1,1,1,031 - EDUARDO GOMES DES. MAYNA
37961,bus_46,17.972,3,1,2,080 - BUGIO ATALAIA
37964,bus_47,29.541,3,1,2,051 - ATALAIA CENTRO
37965,bus_48,15.62,3,1,2,715 - TIJUQUINHA DES MAYNARD
37967,bus_49,0.01,1,1,1,040 - MARCOS FREIRE II DIA
37969,bus_50,16.779,1,1,1,031 - EDUARDO GOMES DES. MAYNA
37971,bus_51,4.871,3,1,1,031 - EDUARDO GOMES DES. MAYNA
37972,bus_52,4.871,3,1,1,031 - EDUARDO GOMES DES. MAYNA
37979,bus_53,0.559,3,1,2,034 - TERM ROD L BATISTA
37982,bus_54,4.68,3,1,2,034 - TERM ROD L BATISTA
37983,bus_55,1.601,3,1,2,034 - TERM ROD L BATISTA
37989,bus_56,18.705,1,1,1,702 - AUGUSTO FRANCO BEIRA MAR
37990,bus_57,1.834,3,1,2,020 - PIABETA DIA
37993,bus_58,0.102,3,1,2,031 - EDUARDO GOMES DES. MAYNA
37995,bus_59,0.177,3,1,2,001 - A FRANCO BUGIO
38000,bus_60,16.685,3,2,2,715 - TIJUQUINHA DES MAYNARD
38001,bus_61,10.941,3,1,2,007 - FERNANDO COLLOR ATALAIA
38015,bus_62,24.505,1,2,2,051 - ATALAIA CENTRO
38016,bus_63,11.567,1,3,1,031 - EDUARDO GOMES DES. MAYNA
38018,bus_64,0.398,3,1,2,061 - M. FREIRE CENTRO
38022,bus_65,19.377,1,2,2,031 - EDUARDO GOMES DES. MAYNA
38024,bus_66,7.138,3,1,2,051 - ATALAIA CENTRO
38030,bus_67,1.783,3,1,2,031 - EDUARDO GOMES DES. MAYNA
38031,bus_68,0.172,3,1,2,020 - PIABETA DIA
38039,bus_69,1.312,3,1,2,002 - FERNANDO COLLOR DIA
38044,bus_70,23.199,3,2,2,001 - A FRANCO BUGIO
38045,bus_71,23.503,3,1,2,001 - A FRANCO BUGIO
38064,bus_72,1.445,3,2,2,707 - CASTELO BRANCO CENTRO
38069,bus_73,0.536,3,1,2,001 - A FRANCO BUGIO
38084,bus_74,1.154,1,3,2,721 - CASTELO BRANCO SUISSA
38090,bus_75,0.843,3,1,2,002 - FERNANDO COLLOR DIA
38092,bus_76,1.373,3,1,2,060 - PADRE PEDRO CAMPUS