ID,Transportation,Speed,Rating,rating_weather
1,car_1,19.211,3,0
2,car_2,30.848,3,0
8,car_3,25.807,2,0
10,car_4,1.347,2,0
11,car_5,36.851,3,0
16,car_6,15.041,3,0
17,car_7,14.44,3,0
20,car_8,9.452,2,0
21,car_9,9.452,2,0
22,car_10,16.264,2,0
23,car_11,21.224,3,0
28,car_12,8.686,3,0
30,car_13,54.996,3,0
31,car_14,54.996,3,0
34,car_15,14.534,3,0
35,car_16,10.288,3,0
36,car_17,18.328,3,0
37,car_18,17.178,3,0
38,car_19,17.098,3,0
39,car_20,32.521,3,0
40,car_21,19.935,3,0
41,car_22,21.514,2,0
42,car_23,27.526,3,0
43,car_24,28.105,3,0
44,car_25,22.322,3,0
45,car_26,22.322,3,0
46,car_27,32.377,3,0
47,car_28,22.378,2,0
48,car_29,24.908,2,0
54,car_30,0.066,2,0
55,car_31,83.328,3,0
56,car_32,83.328,3,0
131,car_33,19.833,3,0
132,car_34,16.893,3,0
133,car_35,20.583,3,0
134,car_36,0.307,2,0
135,car_37,0.307,2,0
136,car_38,21.672,3,0
137,car_39,21.672,3,0
138,car_40,33.201,3,0
139,car_41,33.201,3,0
140,car_42,26.896,3,0
141,car_43,26.896,3,0
142,car_44,31.085,3,0
143,car_45,31.085,3,0
145,car_46,0.462,2,0
146,car_47,0.777,2,0
147,car_48,1.283,2,0
148,car_49,1.488,2,0
149,car_50,23.051,3,0
150,car_51,21.239,3,0
151,car_52,21.301,3,0
153,car_53,24.431,3,0
156,car_54,17.928,3,0
173,car_55,0.728,3,0
180,car_56,0.255,2,0
190,car_57,0.92,2,0
206,car_58,0.06,3,0
207,car_59,0.067,3,0
208,car_60,13.469,3,0
209,car_61,0.126,2,0
37956,car_62,6.77,3,0
37957,car_63,22.468,3,0
37962,car_64,14.712,2,0
37973,car_65,0.367,2,0
37992,car_66,13.558,2,0
37996,car_67,25.958,2,0
37997,car_68,25.958,2,0
37998,car_69,1.414,3,0
38002,car_70,30.397,3,0
38003,car_71,6.76,2,0
38012,car_72,25.655,2,0
38013,car_73,17.654,1,0
38017,car_74,14.631,2,0
38019,car_75,9.077,2,0
38020,car_76,25.451,3,0
38021,car_77,25.451,3,0
38072,car_78,36.647,3,0
38073,car_79,31.367,3,0
38074,car_80,25.562,3,0
38075,car_81,38.028,3,0
38076,car_82,28.142,3,0
38077,car_83,21.812,3,0
38079,car_84,23.829,2,0
38080,car_85,28.337,3,0
38081,car_86,30.052,2,0
38082,car_87,30.174,3,0